k,exact,IAPPA1_q1.75,IAPPA2_q1.75,delta1_bound_component,delta2_bound_component
170,1.9775376201518604e-12,2.207691004663605e-07,1.368430318297528e-10,0.018989555944798,9.498500981666963e-06
171,2.5308398594570688e-12,2.149098134589925e-07,1.2218246248052822e-10,0.0189355505912044,9.390394746544244e-06
172,3.18054366975747e-12,2.0917766881731335e-07,1.0895475491394092e-10,0.018881984141484193,9.284126113438392e-06
173,3.933854977069952e-12,2.03578185617644e-07,9.703043058539293e-11,0.018828850752092955,9.179653630611646e-06
174,4.797639741743831e-12,1.9811600869192565e-07,8.629109089670689e-11,0.018776144687110412,9.076937009409973e-06
175,5.77839728524747e-12,1.9279495389640392e-07,7.662849262599255e-11,0.01872386031571868,8.97593708529775e-06
176,6.882239863271744e-12,1.8761805585542863e-07,6.79437003836328e-11,0.018671992109751973,8.8766157804077e-06
177,8.114877642323408e-12,1.8258761739686634e-07,6.014630961491908e-11,0.018620534641315478,8.778936067539063e-06
178,9.481608336607756e-12,1.777052599673479e-07,5.3153734219887983e-11,0.018569482580470982,8.682861935540307e-06
179,1.098731085048843e-11,1.7297197438919963e-07,4.689055336475961e-11,0.01851883069298719,8.58835835601588e-06
180,1.263644235037724e-11,1.683881713947796e-07,4.128791252056134e-11,0.01846857383815255,8.495391251299373e-06
181,1.4433038259630964e-11,1.6395373144667082e-07,3.6282974186425915e-11,0.018418706966648588,8.403927463638342e-06
182,1.6380714731882392e-11,1.5966805342260436e-07,3.181841414088986e-11,0.01836922511848174,8.313934725538651e-06
183,1.8482673213071143e-11,1.5553010181117186e-07,2.7841959417291766e-11,0.01832012342097187,8.225381631218726e-06
184,2.0741706751034976e-11,1.5153845212761183e-07,2.4305964521869203e-11,0.018271397086795597,8.138237609126472e-06
185,2.3160207754561e-11,1.476913343176952e-07,2.1167022707958644e-11,0.01822304141208272,8.052472895473868e-06
186,2.5740176941889252e-11,1.4398667397164905e-07,1.838560938918821e-11,0.018175051774564036,7.968058508746392e-06
187,2.8483233252354155e-11,1.4042213121893513e-07,1.5925755020900165e-11,0.018127423631768932,7.884966225146414e-06
188,3.13906245246294e-11,1.3699513721849084e-07,1.3754745004248269e-11,0.018080152519271177,7.803168554931666e-06
189,3.446323877134082e-11,1.3370292819777644e-07,1.1842844373314543e-11,0.018033234048981425,7.722638719611653e-06
190,3.770161590301739e-11,1.3054257702780654e-07,1.0163045213855757e-11,0.017986663907484955,7.643350629966658e-06
191,4.1105959774806846e-11,1.275110223504721e-07,8.690834934451646e-12,0.017940437854423247,7.5652788648555505e-06
192,4.4676150447394743e-11,1.246050952991495e-07,7.403983668281516e-12,0.017894551720918046,7.488398650780228e-06
193,4.841175656941081e-11,1.2182154387415402e-07,6.282349227781172e-12,0.017849001408036594,7.412685842175956e-06
194,5.231204780252296e-11,1.1915705505134555e-07,5.3076981661907396e-12,0.017803782885296805,7.338116902398271e-06
195,5.6376007222629696e-11,1.1660827471548535e-07,4.463541620560199e-12,0.017758892189211114,7.264668885378444e-06
196,6.060234364125402e-11,1.1417182552012016e-07,3.734984721102627e-12,0.01771432542186788,7.192319417920762e-06
197,6.498950380059162e-11,1.1184432278317574e-07,3.1085884527598603e-12,0.01767007874954916,7.121046682616097e-06
198,6.953568440382533e-11,1.0962238853241666e-07,2.572242947279226e-12,0.017626148401383795,7.050829401347323e-06
199,7.423884394942238e-11,1.0750266381778502e-07,2.1150512687292644e-12,0.01758253066803475,6.981646819363298e-06
200,7.909671434430193e-11,1.054818194086776e-07,1.7272228328790949e-12,0.017539221900419674,6.913478689899075e-06
201,8.410681227610907e-11,1.035565649937319e-07,1.3999756718434069e-12,0.017496218508463682,6.846305259321062e-06
202,8.926645032944692e-11,1.017236569989293e-07,1.1254468204122192e-12,0.017453516959883456,6.7801072527767234e-06
